comparison_key,scope,loto_type,run_count,ci_wins,permutation_wins,both_pass_count,both_pass_rate
settransformer_vs_deepsets,per_loto,loto6,1,0,0,0,0.0
settransformer_vs_deepsets,overall,ALL,1,0,0,0,0.0
settransformer_vs_multihot,per_loto,loto6,1,0,0,0,0.0
settransformer_vs_multihot,overall,ALL,1,0,0,0,0.0
deepsets_vs_multihot,per_loto,loto6,1,0,0,0,0.0
deepsets_vs_multihot,overall,ALL,1,0,0,0,0.0
settransformer_vs_legacy,per_loto,loto6,1,0,0,0,0.0
settransformer_vs_legacy,overall,ALL,1,0,0,0,0.0
deepsets_vs_legacy,per_loto,loto6,1,1,1,1,1.0
deepsets_vs_legacy,overall,ALL,1,1,1,1,1.0
multihot_vs_legacy,per_loto,loto6,1,0,0,0,0.0
multihot_vs_legacy,overall,ALL,1,0,0,0,0.0
deepsets_vs_best_static,per_loto,loto6,1,0,1,0,0.0
deepsets_vs_best_static,overall,ALL,1,0,1,0,0.0
legacy_vs_best_static,per_loto,loto6,1,0,1,0,0.0
legacy_vs_best_static,overall,ALL,1,0,1,0,0.0
multihot_vs_best_static,per_loto,loto6,1,0,1,0,0.0
multihot_vs_best_static,overall,ALL,1,0,1,0,0.0
settransformer_vs_best_static,per_loto,loto6,1,0,1,0,0.0
settransformer_vs_best_static,overall,ALL,1,0,1,0,0.0
